,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
32,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
33,15~19,Non-Government,*,Some-college,10,Never-married,Prof-specialty,*,White,Male,0,0,1~49,United-States,<=50k
34,15~19,Private,*,Some-college,10,Never-married,Machine-op-inspct,*,*,Male,0,0,*,*,<=50k
35,15~19,Private,*,Some-college,10,Never-married,Machine-op-inspct,*,*,Male,0,0,*,*,<=50k
36,15~19,Private,*,Some-college,10,Never-married,Machine-op-inspct,*,*,Male,0,0,*,*,<=50k
37,15~19,Private,*,Some-college,10,Never-married,Machine-op-inspct,*,*,Male,0,0,*,*,<=50k
38,15~19,Private,*,Some-college,10,Never-married,Machine-op-inspct,*,*,Male,0,0,*,*,<=50k
39,15~19,Private,*,Some-college,10,Never-married,Machine-op-inspct,*,*,Male,0,0,*,*,<=50k
40,15~19,Private,*,Some-college,10,Never-married,Machine-op-inspct,*,*,Male,0,0,*,*,<=50k
41,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
42,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
43,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
44,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
45,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
46,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
47,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
48,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
49,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
50,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
51,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
52,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
53,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
54,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
55,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
56,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
57,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
58,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
59,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
60,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
61,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
62,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
63,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
64,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
65,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
66,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
67,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
68,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
69,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
70,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
71,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
72,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
73,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
74,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
75,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
76,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
77,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
78,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
79,15~19,Private,*,Higher education,7~16,Never-married,Technical,*,*,Female,0~49999,0,1~49,*,<=50k
80,15~19,Self-emp-not-inc,*,Some-college,10,Never-married,Technical,*,*,Female,0,0,1~49,*,<=50k
81,15~19,Self-emp-not-inc,*,Some-college,10,Never-married,Technical,*,*,Female,0,0,1~49,*,<=50k
82,15~19,Self-emp-not-inc,*,Some-college,10,Never-married,Technical,*,*,Female,0,0,1~49,*,<=50k
83,15~19,Self-emp-not-inc,*,Some-college,10,Never-married,Technical,*,*,Female,0,0,1~49,*,<=50k
84,15~19,Self-emp-not-inc,*,Some-college,10,Never-married,Technical,*,*,Female,0,0,1~49,*,<=50k
85,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
86,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
87,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
88,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
89,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
90,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
91,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
92,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
93,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
94,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
95,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
96,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
97,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
98,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
99,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
100,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
101,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
102,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
103,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
104,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
105,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
106,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
107,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
108,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
109,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
110,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
111,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
112,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
113,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
114,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
115,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
116,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
117,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
118,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
119,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
120,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
121,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
122,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
123,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
124,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
125,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
126,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
127,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
128,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
129,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
130,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
131,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
132,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
133,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
134,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
135,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
136,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
137,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
138,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
139,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
140,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
141,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
142,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
143,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
144,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
145,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
146,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
147,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
148,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
149,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
150,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
151,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
152,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
153,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
154,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
155,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
156,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
157,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
158,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
159,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
160,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
161,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
162,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
163,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
164,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
165,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
166,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
167,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
168,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
169,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
170,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
171,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
172,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
173,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
174,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
175,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
176,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
177,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
178,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
179,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
180,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
181,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
182,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
183,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
184,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
185,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
186,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
187,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
188,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
189,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
190,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
191,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
192,15~19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Male,0~49999,*,1~49,*,<=50k
193,15~19,Non-Government,*,Professional Education,7~16,Never-married,Other,Own-child,*,Male,0,0,1~49,United-States,<=50k
194,15~19,Non-Government,*,Professional Education,7~16,Never-married,Other,Own-child,*,Male,0,0,1~49,United-States,<=50k
195,15~19,Non-Government,*,Professional Education,7~16,Never-married,Other,Own-child,*,Male,0,0,1~49,United-States,<=50k
196,15~19,Non-Government,*,Professional Education,7~16,Never-married,Other,Own-child,*,Male,0,0,1~49,United-States,<=50k
197,15~19,Non-Government,*,Professional Education,7~16,Never-married,Other,Own-child,*,Male,0,0,1~49,United-States,<=50k
198,15~19,Non-Government,*,Some-college,10,Never-married,Other,Own-child,White,Male,0,0,49~99,United-States,<=50k
199,15~19,Non-Government,*,Some-college,10,Never-married,Other,Own-child,White,Male,0,0,49~99,United-States,<=50k
200,15~19,Non-Government,*,Some-college,10,Never-married,Other,Own-child,White,Male,0,0,49~99,United-States,<=50k
201,15~19,Non-Government,*,Some-college,10,Never-married,Other,Own-child,White,Male,0,0,49~99,United-States,<=50k
202,15~19,Non-Government,*,Some-college,10,Never-married,Other,Own-child,White,Male,0,0,49~99,United-States,<=50k
203,15~19,Non-Government,*,Some-college,10,Never-married,Other,Own-child,White,Male,0,0,49~99,United-States,<=50k
204,15~19,Non-Government,*,Some-college,10,Never-married,Other,Own-child,White,Male,0,0,49~99,United-States,<=50k
205,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
206,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
207,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
208,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
209,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
210,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
211,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
212,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
213,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
214,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
215,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
216,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
217,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
218,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
219,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
220,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
221,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
222,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
223,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
224,18,Private,*,Some-college,10,Never-married,Other,Own-child,White,Female,0,0,1~49,*,<=50k
225,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
226,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
227,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
228,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
229,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
230,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
231,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
232,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
233,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
234,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
235,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
236,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
237,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
238,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
239,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
240,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
241,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
242,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
243,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
244,19,Non-Government,*,Some-college,10,spouse not present,Other,Own-child,*,Female,0~49999,0~2178,1~49,*,<=50k
