age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;salary-class
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Male;0~49999;*;1~49;*;<=50k
15~19;Non-Government;*;Professional Education;7~16;Never-married;Other;Own-child;*;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Professional Education;7~16;Never-married;Other;Own-child;*;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Professional Education;7~16;Never-married;Other;Own-child;*;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Professional Education;7~16;Never-married;Other;Own-child;*;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Professional Education;7~16;Never-married;Other;Own-child;*;Male;0;0;1~49;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Other;Own-child;White;Male;0;0;49~99;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Other;Own-child;White;Male;0;0;49~99;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Other;Own-child;White;Male;0;0;49~99;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Other;Own-child;White;Male;0;0;49~99;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Other;Own-child;White;Male;0;0;49~99;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Other;Own-child;White;Male;0;0;49~99;United-States;<=50k
15~19;Non-Government;*;Some-college;10;Never-married;Other;Own-child;White;Male;0;0;49~99;United-States;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
18;Private;*;Some-college;10;Never-married;Other;Own-child;White;Female;0;0;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
19;Non-Government;*;Some-college;10;spouse not present;Other;Own-child;*;Female;0~49999;0~2178;1~49;*;<=50k
